	logFC	logCPM	LR	PValue	FDR
YNL195C	4.30539798662126	5.26699679984056	590.317046311739	2.1377006976355e-130	1.0633778350318e-128
YMR118C	2.99959672633435	6.78253113856182	586.215682595211	1.66746050459997e-129	8.22878525206558e-128
YOR063W	-2.81226360465619	11.7644725300645	585.848325690712	2.0042955093019e-129	9.81315706837735e-128
YEL060C	4.03186119816909	10.8593455250161	577.623820246813	1.23296288203915e-127	5.98950250040582e-126
YNL069C	-3.2237955625368	9.8710137948248	575.450840529052	3.66118918583845e-127	1.76474995019717e-125
YJR145C	-3.32442526495266	10.6305148293591	573.158454154118	1.15417408277764e-126	5.52050342054719e-125
YKR093W	-2.66632948510186	5.93888198890384	572.783181566367	1.39284392845534e-126	6.61122408178268e-125
YPL263C	-3.31497369262859	7.39150148701128	571.384964536876	2.8057586523252e-126	1.3216823712241e-124
YBL039C	-4.21672482610859	8.22307424838496	570.111886311636	5.30858051411941e-126	2.48186117569883e-124
YKL081W	-3.26693236513251	9.46660276732589	569.391322817744	7.61588632609084e-126	3.53399859519648e-124
YPL131W	-3.09026689733793	10.5679381973889	569.153008850782	8.5814417954015e-126	3.95254852472641e-124
YDL021W	3.86296597400269	5.97600971944037	567.084188628336	2.41872700626249e-125	1.10585621506913e-123
YPL123C	3.46203696167286	6.61623310439802	566.654151892303	3.00007629902877e-125	1.36164046915043e-123
YDL075W	-2.74954049952305	9.49411557220753	561.517946816835	3.93020613184896e-124	1.77087113969832e-122
YKL026C	3.42060948720377	5.50518290030099	560.425866210418	6.79170572712775e-124	3.03818893606333e-122
YLR303W	3.24837301130513	10.5721473897662	559.321137398961	1.18112163996105e-123	5.24586739805558e-122
YDL238C	3.28036507893076	6.32562498049169	558.226321966187	2.04387686743916e-123	9.01335202960051e-122
YKL128C	-2.68856097834776	6.22889395872154	557.013592414565	3.75202898353781e-123	1.64296593096043e-121
YGL031C	-3.30286104671887	9.70786326719856	556.112932921567	5.89104114385621e-123	2.56157299527957e-121
YLL055W	3.96077916097265	8.62213816921828	552.302237067347	3.9733964816222e-122	1.71573467518936e-120
YDR144C	-3.0327783848161	5.93120970994094	551.948296018944	4.74414471193319e-122	2.03442012543452e-120
YOR272W	-2.69394967697137	6.95121909366236	549.512674809983	1.6069532362943e-121	6.84385974197122e-120
YGR088W	4.36750480662935	8.55999245799981	546.531367120711	7.15423194533138e-121	3.02619144463065e-119
YEL072W	2.84411906495813	5.77518485321325	545.362764295009	1.28465056808767e-120	5.39726840024941e-119
YIL018W	-3.25819722141972	10.8607996133534	544.93014040795	1.59551097737404e-120	6.65831359551124e-119
YMR242C	-2.95759231162363	9.51374641457348	544.168737773277	2.33635478939339e-120	9.68496938696542e-119
YFL054C	2.58277885573074	6.49799150515589	540.675384192825	1.34432498719408e-119	5.5357700466045e-118
YGR154C	3.13364996950254	7.4839170719832	540.487870534493	1.47671739655428e-119	6.04093998143059e-118
YLL045C	-2.86079810826437	10.0572485328663	538.44588629627	4.10702701490303e-119	1.66911725350765e-117
YER096W	4.04333233686683	5.22526599392109	534.238923955666	3.37874020496421e-118	1.36422120743295e-116
YPR151C	5.88002600653964	5.26754959838881	531.195993204747	1.55150997181115e-117	6.22405742240113e-116
YDL182W	-2.72361161409955	9.90171169182628	529.673826367342	3.325904014146e-117	1.32567122820255e-115
YIR034C	-2.73898308739119	8.78708308289074	527.022889288354	1.25498581153544e-116	4.97038329689639e-115
YHR092C	3.16454671687789	7.58517622516951	526.178154555999	1.91609771884316e-116	7.5406934277005e-115
YBR203W	2.55164249339611	6.91127675401274	526.056489302553	2.03651191054071e-116	7.96417047782526e-115
YLR406C	-3.2608753421585	7.84177842800727	520.45525044958	3.36896275817344e-115	1.30926315189515e-113
YPL245W	-2.79848396684562	5.81624792163478	519.434222447933	5.61868152501232e-115	2.16999762251718e-113
YJL158C	-3.22589023046293	8.85374384689956	515.07826465613	4.98127246019311e-114	1.91194766404202e-112
YDL239C	2.83379395119315	6.61110332115493	514.250335341458	7.54172754708247e-114	2.87696085200974e-112
YCR068W	2.43127156076056	6.5156665244195	513.887003957462	9.04732371377241e-114	3.430259686112e-112
YCR034W	-3.60680758642994	7.05455071846418	511.788530083661	2.58870792205507e-113	9.75550658141721e-112
YIL097W	2.71635179834978	6.21475039511375	511.110863788933	3.63515574771624e-113	1.36165050839154e-111
YOR369C	-2.93056114085845	11.2680549150218	509.506936581197	8.11878886164027e-113	3.02291192465145e-111
YGR034W	-3.32699155023148	9.51338711226023	506.760399750667	3.21412884741509e-112	1.18961030793018e-110
YLR299W	3.23348168401619	8.03611400529798	504.099815350264	1.21882241148775e-111	4.48440103824309e-110
YNL302C	-3.40725214509711	9.69622991719662	503.945960996729	1.31648375393504e-111	4.81523293056947e-110
YLR048W	-3.17238958941623	9.64363854400139	501.404633503292	4.70274299773689e-111	1.71003836022971e-109
YGL156W	3.41874977494098	7.81190536462874	499.372625648803	1.30159077076571e-110	4.70540198408207e-109
YBR031W	-2.74928345416697	10.6455737232016	490.709847667733	9.98521859825259e-109	3.58890689271298e-107
YDL059C	3.51616182537761	7.09998231845494	490.285896876416	1.23482169270351e-108	4.41271338231633e-107
YDL083C	-3.48808365536572	9.38199210893623	489.665227630674	1.68521307948107e-108	5.98780281612189e-107
YLR092W	3.4685397787417	8.15788635221024	486.587770226363	7.87552819425436e-108	2.78238831317464e-106
YIL158W	-2.50637779150269	6.14949061564403	485.686943894526	1.23677980342863e-107	4.34480046198826e-106
YMR105C	3.11234188377852	7.33917432428163	484.110505106249	2.72467556442755e-107	9.51799587618569e-106
YFR031C-A	-2.86032804027185	9.95280437159324	483.759345194967	3.24881609286293e-107	1.12855522153194e-105
YAL054C	2.9877791232861	6.9584131957961	481.995079014728	7.86358870628867e-107	2.7164330319835e-105
YOR120W	2.98746209499582	7.50505285263894	481.51314341071	1.00112455460748e-106	3.43922236494436e-105
YAL059W	-2.16916780054974	6.02048818009363	480.336202408015	1.80545567459108e-106	6.16830955198205e-105
YDL199C	2.76630301960374	5.81524450233882	480.242472973344	1.89226571558842e-106	6.42956733307586e-105
YDR384C	-2.83324130504912	6.46674082845471	479.96427943026	2.1752861127213e-106	7.35104839614189e-105
YEL011W	2.21614261699053	6.88579906586892	477.889154874504	6.15263202258984e-106	2.06794950899803e-104
YDR001C	2.76001886058279	8.77858602144412	476.647088035213	1.14639715710247e-105	3.83241802304471e-104
YJL122W	-2.57610983768847	6.69022663910625	476.182896001835	1.44658453143796e-105	4.81008696068516e-104
YOR312C	-2.89517520575655	10.0127923548136	475.956106033015	1.62066647087962e-105	5.36026814677101e-104
YPR030W	2.48597431278402	6.34181958368189	475.012805048311	2.59990723800276e-105	8.55355725179954e-104
YLR174W	2.70290179896508	6.09614952294355	473.096392829896	6.79165558319748e-105	2.22265865349063e-103
YIL166C	4.18130512693551	7.95400812244626	472.697562702145	8.29397813645548e-105	2.70010241112462e-103
YMR181C	2.58176599229373	6.85130552002484	471.946742397623	1.20821766881669e-104	3.91286326286572e-103
YOR096W	-3.36596532384739	9.94601938808884	471.724236126364	1.35071516939602e-104	4.35168234368105e-103
YNL191W	2.32726748498209	6.92853015966673	470.994241030664	1.94722027406478e-104	6.24114209491483e-103
YBR280C	2.44426939988649	6.4548902898505	470.74364520496	2.20773201022098e-104	7.03983468695078e-103
YCR021C	5.40245379233095	9.40520588431782	470.289411770491	2.77198350964434e-104	8.79397625661658e-103
YOR224C	-2.20207294725972	6.64602572762697	470.090882607969	3.0619070503054e-104	9.66443555268984e-103
YOR003W	2.73959358877863	6.83566892051567	469.230822541713	4.71137470233841e-104	1.47956201510809e-102
YNL115C	2.97241241100433	7.87762911429514	467.881662336221	9.26268030588279e-104	2.89423849959694e-102
YML128C	4.48320367965641	9.63547595752188	466.803559423591	1.58980024437532e-103	4.94268895976288e-102
YKR049C	3.36541070548754	6.72891377732141	466.502253215996	1.8488853578594e-103	5.71958664436307e-102
YPR150W	6.02792554746906	5.08501288895254	466.22476580304	2.12468359234015e-103	6.54023889958964e-102
YMR169C	3.18146714946417	7.42462061914615	465.037815727467	3.85113178566934e-103	1.17962253415231e-101
YIL055C	2.41383558778569	6.02251175888594	463.859496395734	6.95033494173152e-103	2.11848934645522e-101
YHL036W	4.66466257822077	8.07890967215191	463.27726277275	9.30481467812782e-103	2.82230915456579e-101
YIL094C	-2.57282549918136	9.71621686154658	462.072165058388	1.70198035057665e-102	5.13733680576972e-101
YLR164W	3.82424239071656	6.19228654534542	460.068353909256	4.64532685859619e-102	1.39539335298314e-100
YGL121C	4.58372051878435	6.7644780681733	460.049124617384	4.69030303049565e-102	1.4021300117126e-100
YPR026W	2.34744234946384	6.88436867538138	458.506875620231	1.01583238418104e-101	3.02222285398933e-100
YER054C	3.32025485049176	5.88602761900445	458.01560607675	1.29936649173209e-101	3.84736230742387e-100
YOL153C	2.25916046841873	6.55873646428887	457.532014156921	1.65565832361568e-101	4.8790916854229e-100
YLR356W	2.44179182287606	6.08151000867474	457.251962228902	1.90509045063866e-101	5.58766623682602e-100
YHR197W	-2.57817175886825	6.63350515287728	456.9192105191	2.25075960233491e-101	6.57052732737955e-100
YBR006W	3.23342441321332	8.06129898720082	456.73959221338	2.46273532771805e-101	7.15574218119199e-100
YKR075C	3.11014366935759	7.07801470209569	456.157350167951	3.29705190942311e-101	9.53538082455484e-100
YNL175C	-3.21343971696036	7.18488932421868	455.15528250142	5.44750308960437e-101	1.56817473199815e-99
YIL071C	2.32602444889492	6.12093536041305	455.041018804692	5.76851219270838e-101	1.65293128176317e-99
YIL165C	3.40604220060126	7.17822986204813	454.935153096066	6.08278641231427e-101	1.7349892620078e-99
YFR030W	2.74558561697194	8.82200516871122	454.635395330049	7.06865266878694e-101	2.00698092669028e-99
YNL248C	-3.27739639876144	7.37831150787578	454.17754667489	8.89150043753263e-101	2.51306135093536e-99
YBL092W	-2.8987322679111	10.0891754853459	454.040790267391	9.52218117658713e-101	2.67913676724067e-99
YML073C	-2.56794684227358	9.3361035584544	453.916005513595	1.0136605212324e-100	2.8391626671275e-99
YPL017C	2.05138588144267	6.09576389467121	451.943856402003	2.72320694419102e-100	7.59322904886985e-99
YAL034C	2.85021203972475	7.64647367631334	451.925516898539	2.74834843539053e-100	7.62912079074032e-99
YOR315W	-3.28523397601901	7.26657132326182	450.148554579738	6.69554612355229e-100	1.85035136872214e-98
YGR123C	-2.45136821790211	6.38972033990121	449.922313702941	7.4993266775098e-100	2.06331032215734e-98
YEL066W	3.28265200861479	7.15570893958447	449.833177261318	7.84189169428704e-100	2.14805650022365e-98
YDL223C	3.1760557321979	8.44099018554149	446.005985257559	5.3374304480892e-99	1.45562028623766e-97
YDR471W	-2.74377704139541	9.24436877894369	445.934354673522	5.53249888950844e-99	1.50223048449622e-97
YPL171C	5.59663236387847	7.67755959657434	445.779949190607	5.97757352934629e-99	1.6160240089337e-97
YGR177C	-2.94232852705304	5.38716312834721	445.608454299102	6.51399998144514e-99	1.75342215950761e-97
YER079W	2.88936238380229	6.42548293498064	444.732298169995	1.01048091597729e-98	2.70826307566673e-97
YNL200C	3.13727678874515	6.82002384645756	443.265199763639	2.10774859125934e-98	5.62488443796163e-97
YKR076W	4.11069497168998	7.49619007675433	442.882047563133	2.55391355340991e-98	6.78642498936019e-97
YHR010W	-3.27828255659821	9.78212306153238	441.458218728975	5.2129409217598e-98	1.37932198517032e-96
YHR089C	-3.44193059352389	8.47739015945147	440.805422231195	7.23028905696597e-98	1.90499734560231e-96
YJL057C	2.12560789527205	6.9268184336225	440.569978373914	8.13574143386584e-98	2.13451646564463e-96
YKR057W	-3.28437305446373	8.03811141002449	438.107573121154	2.79455869424665e-97	7.3010781348007e-96
YKL050C	1.9425881325743	6.12483809636411	438.056034756686	2.86767599086734e-97	7.46075703398039e-96
YFR017C	4.02036432696398	5.01072881201898	437.894895229366	3.10885606896942e-97	8.05452793202161e-96
YAL062W	3.00921177159769	7.14015115086837	437.383553678312	4.01688680210521e-97	1.03639013010333e-95
YKR033C	7.75693966267072	5.16054428525688	437.211576273508	4.37843618414211e-97	1.12500480136346e-95
YNL169C	-2.49058968706872	7.04402930979596	436.072446822676	7.74893073406307e-97	1.98283338701252e-95
YPL119C	2.8289606499682	6.27002111923742	435.313792241745	1.13333400979252e-96	2.8881438003647e-95
YIL155C	3.20855656785159	7.97469372377519	435.096483202703	1.26372889100205e-96	3.20729234459214e-95
YOL126C	3.00827943566411	8.08416932872068	433.65832246873	2.59813803499998e-96	6.56716353724792e-95
YIL167W	2.48109282012599	5.56386625488011	433.228839363892	3.22208856460008e-96	8.11131445128877e-95
YBR084W	-3.17586270167162	7.79884954156848	431.844461314373	6.44826939453219e-96	1.61674754416134e-94
YMR143W	-2.67552279587954	9.72053865894063	431.403632973531	8.04245413636984e-96	2.00835260321075e-94
YBR169C	3.99176691971738	9.1708168972976	431.095077372636	9.38739830375052e-96	2.33483370610883e-94
YLR222C	-2.72114520868446	6.84950855840077	428.422925986359	3.58211492263789e-95	8.8739404736902e-94
YDR064W	-2.61198395778478	10.0302666087906	427.440338539116	5.86140814507803e-95	1.44627920024187e-93
YIL045W	2.94788492312049	6.78491846548042	427.090035317719	6.98628906275838e-95	1.71702550957437e-93
YJL088W	-2.69969519705516	7.94079106662916	427.079932543739	7.02175146105237e-95	1.71894687341825e-93
YJL155C	2.3621442618244	6.64324377974066	425.576220884511	1.49188258894782e-94	3.63785330905003e-93
YGR128C	-2.94955000839447	6.96484018484227	425.459557366714	1.58171074474573e-94	3.84182711360506e-93
YML131W	2.73814957728724	7.49269175073999	425.413808753835	1.61839486564754e-94	3.91563395898692e-93
YMR090W	3.13490807887193	8.17469538044448	425.388885718455	1.63873648593693e-94	3.94948196494413e-93
